Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIPS PESOS N16 ,A-2027:,"$19,404.5",380.82%,Prepago Mora A B MZ CResidual
" $80,785 millones ",,$millones de pesos,B-2032:,"$37,680.5",129.45%,$mm
Mora >120 dÃ­as:,,Ed,MZ-2032:,"$6,785.2",115.70%,"10% 1.0 100% 100% 100% 100% 4,813"
" $6,888 millones ",,,C-2032:,"$1,884.1",112.38%,"20% 1.0 100% 100% 100% 100% 5,908"
AvalÃºo BRP,,,,,,"MM 1.0 100% 100% 100% 100% 4,542"
 $440 millones ,,,,,,"10% 1.5 100% 100% 100% 100% 4,296"
TIPS,,,,,,"20% 1.5 100% 100% 100% 100% 5,468"
,,,,,,"MM 1.5 100% 100% 100% 100% 4,045"
,,,,,,"10% 5.0 100% 100% 100% 100% 1,137"
,,,,,,"20% 5.0 100% 100% 100% 100% 2,645"
,,,,,,MM 5.0 100% 100% 100% 100% 816
