Saldoymora,Fecha,Titulos,TIV,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIV PESOS V5 _,A-2028:,"$40,565.8",134.72%,Prepago Mora A B1 B2 B3Residual
" $54,800 millones ",,$millones de pesos,B1-2033:,"$3,164.5",124.97%,$mm
Mora >90 dÃ­as:,,,B2-2033:,"$5,696.2",110.57%,"10% 1.0 100% 100% 100% 100% 2,282"
 $150 millones ,,,B3-2033:,"$4,430.3",101.47%,"20% 1.0 100% 100% 100% 100% 1,808"
TIV,,,,,,"MM 1.0 100% 100% 100% 100% 1,639"
,,,,,,10% 1.5 100% 100% 100% 100% -
,,,,,,20% 1.5 100% 100% 100% 100% -
,,,,,,MM 1.5 100% 100% 100% 100% -
,,,,,,10% 5.0 100% 100% 100% 100% -
,,,,,,20% 5.0 100% 100% 100% 100% -
,,,,,,MM 5.0 100% 100% 100% 100% -
